NOME;MARCA;EXPOSITOR;CATEGORIA;VALOR;FICHA TÉCNICA;FOTO;;;
ENCRENCA SPIN;ISCAS YARA;YARA ISCAS ARTIFICIAIS;ISCA DE CORPO RÍGIDO;R$ 69,90;ISCA DO TIPO SPIN (COM COLHER GIRATÓRIA), FABRICADA EM ABS DE ALTA RESISTÊNCIA, COM AÇÃO SINKING (AFUNDANTE) E EQUIPADA COM GARATÉIAS 6X. DESENVOLVIDA EM PARCERIA COM O GRANDE PESCADOR EDUARDO MONTEIRO, ESTÁ DISPONÍVEL EM DOIS TAMANHOS: 7CM / 17G E 9CM / 29G.;ENCRENCA.JPG;;;
INVADER 110 MR;MARINE;MARINE;ISCA DE CORPO RÍGIDO;R$ 55,00;TIPO: MINNOW, MEIA ÁGUA FLOATING E SUSPENDING PLÁSTICO ABS EFEITO SONORO: ESFERAS PROFUNDIDADE NADO: 0,8M A 2,0M 3 GARATÉIAS SANKEN 4X #6 BLACK NICKEL PESO: FLOATING 17G / SUSPENDING 17,5G 14 CORES ISCA DE MEIA ÁGUA DISPONÍVEL EM MODELO FLOATING E SUSPENDING, COM NADO ERRÁTICO. ÓTIMA OPÇÃO PARA A CAPTURA DE TUCUNARÉS, TRAÍRAS E TRAIRÕES.;INVADER.JPG;;;
BELLY DANCER;MORO DECONTO/FUJI;DECONTO ISCAS ARTIFICIAIS;ISCA DE CORPO RÍGIDO;R$ 79,90;A BELLY DANCER É UMA JERKBAIT COMPACTA COM TRABALHO MUITO ATRAENTE, IDEAL PARA PESCADORES INICIANTES E EXPERIENTES, CONSTRUÍDA COM MATERIAIS DE ALTA QUALIDADE E RESISTÊNCIA. É EQUIPADA COM SPLIT RINGS DE INOX FORJADO E GARATÉIAS HOGAN, ALÉM DE PINTURAS E ACABAMENTOS PREMIUM, COMO UV-TECH COM VERNIZ LOCALIZADO EM ALTO RELEVO E DUPLA CAMADA DE VERNIZ;BELLY.JPG;;;
ISCA HB 230;SAHARA;SAHARA;ISCA DE CORPO RÍGIDO;R$ 27,00;ISCA ARTIFICIAL MEIA AGUA, 12,8 CM, 30 GR, DISPONIVEL EM 5 CORES. EXCELENTE ISCA COM DESEMPENHO ESPETACULAR;HB230.JPG;;;
SLIDE ACTOR;GRUPO WAKOKU / FLÓRIDA MARINE;SHOUT;ISCA PARA ÁGUA SALGADA;R$ 140,00;LONGO, PESADO, MAS FÁCIL DE TRABALHAR! SHOUT SLIDE ACTOR É UM JUMPING JIG QUE POSSUI O CORPO ALONGADO E ACHATADO. UMA DAS PRINCIPAIS CARACTERÍSTICAS É O FORMATO ASSIMÉTRICO E FINO QUE PERMITEM QUE A ISCA AFUNDE RAPIDAMENTE, ATINGINDO GRANDES PROFUNDIDADES EM UM TEMPO MUITO CURTO. O MOMENTO EM QUE VOCÊ COMEÇAR A TRABALHAR, LEVANTANDO E ABAIXANDO A PONTA DA VARA, ESSE MOVIMENTO PERMITE A ISCA FAZER ZIGUEZAGUA ASCENDENTE COM MOVIMENTOS AMPLOS E BASTANTE ATRAENTES PARA PREDADORES COMO OLHETES E OLHOS-DE-BOI.;SLIDE.JPG;;;
FEED POPPER 150;GRUPO WAKOKU / FLÓRIDA MARINE;TACKLE HOUSE;ISCA PARA ÁGUA SALGADA;R$ 312,00;PENSA EM UM POPPER DIFERENCIADO! O FEED POPPER É UMA ISCA QUE PRODUZ UM BARULHO CARACTERÍSTICO. MESMO COM UM LEVE MOVIMENTO DA VARA, O DESIGN DA BOCA CRIA SONS DE ESTALO. MAS, O MAIS COMUM É O TRABALHO COM UMA PUXADA MAIS LONGA PARA A ISCA FAZER UM BARULHO BASTANTE ATRAENTE, MERGULHAR LOGO ABAIXO DA SUPERFÍCIE E DEIXAR UM RASTRO DE BOLHAS. ISSO ACONTECE POR CAUSA DO EQUILÍBRIO DA ARTIFICIAL QUE A QUASE EM PÉ QUANDO PARADA, DETALHE QUE AJUDA NA HORA DO TRABALHO DA ISCA, MESMO EM LOCAIS DE ÁGUA MAIS AGITADA, ALÉM DE CRIAR UMA SITUAÇÃO PERFEITA PARA OS ATAQUES DE SUCÇÃO DOS PEIXES-ALVO. MESMO COM UM CORPO COMPACTO, O PESCADOR CONSEGUE REALIZAR LONGOS ARREMESSOS DEVIDO À SUA ALTA DENSIDADE. ESSAS ARTIFICIAIS POSSUEM UM BONITO ACABAMENTO, SÃO REFORÇADAS E EQUIPADAS COM GARATEIAS EXTREMAMENTE AFIADAS DA MARCA OWNER. ESTA SÉRIE É COMPOSTA POR ARTIFICIAIS DE TAMANHOS: 150 (54G), 135 (45G), 120 (30G) E 100 (22G).;POPPER.JPG;;;
JACK EYE MAKI MAKI FS 417;GRUPO WAKOKU / FLÓRIDA MARINE;HAYABUSA;ISCA PARA ÁGUA SALGADA;R$ 120,00;MAIS VERSATILIDADE NA PESCARIA MARINHA! O DIFERENCIAL DESTE METAL JIG É A COLHER DE METAL ACOPLADA NA GARATÉIA QUE PRODUZ MUITA VIBRAÇÃO E BRILHO, SENDO ASSIM UM GRANDE ATRATIVO PARA OS PREDADORES TRATA-SE DE UMA ARTIFICIAL VERSÁTIL E PODE SER TRABALHADA DE DIVERSAS FORMAS, COMO APENAS ARREMESSANDO E RECOLHENDO OU, NA VERTICAL, DEIXANDO AFUNDAR AO LADO DA EMBARCAÇÃO. O JIG TEM UM ACABAMENTO IMPECÁVEL, CORES ATRAENTES E VEM EQUIPADA COM ASSIST E GARATEIA.;MAKI.JPG;;;
BANETT 160F;GRUPO WAKOKU / FLÓRIDA MARINE;IMA;ISCA PARA ÁGUA SALGADA;R$ 324,00;NOVIDADE DE SUPERFÍCIE! A BANETT É UMA ARTIFICIAL DE 16CM E 43G (SEM AS GARATEIAS) DO TIPO PENCIL QUE FAZ O MUITO BEM AQUELE TRABALHO DE MERGULHAR E FAZER O ZIGUE-ZAGUE LOGO ABAIXO DA SUPERFÍCIE. O FORMATO DESSE PLUG O TORNA EXCELENTE PARA ARREMESSOS LONGOS E PARA TRABALHAR. NA ÁGUA SALGADA É INDICADA PARA OLHETES, OLHOS DE BOI, ATUM E NA ÁGUA DOCE PARA OS FORTES TUCUNARÉS AÇUS.;BANETT.JPG;;;
CIAN POPPER ROAR 200F;GRUPO WAKOKU / FLÓRIDA MARINE;JACKALL;ISCA PARA ÁGUA SALGADA;R$ 522,00;JACKALL PARA ESPÉCIES MARINHAS! ESTE POPPER POSSUI UM DESENHO MUITO BONITO E MODERNO, FÁCIL DE SER TRABALHADO, RESPONDENDO BEM TANTO AOS TOQUES LONGOS, QUANTO OS MAIS CURTOS, PRODUZINDO UM BOM BARULHO E UM FORTE SPRAY. AO MERGULHAR, A ARTIFICIAL DEIXA UM RASTRO DE BOLHAS. O CORPO MAIS FINO E O FORMATO EM QUE A PARTE TRASEIRA É MAIS GROSSA, ESTABILIZAM A POSTURA DA ISCA DURANTE O LANÇAMENTO, AJUDANDO A ALCANÇAR LONGAS DISTÂNCIAS O PITÃO DIANTEIRO E O TRASEIRO SÃO FEITOS DE UMA PEÇA DE ARAME ÚNICA, AUMENTANDO GARANTINDO O TROFÉU MESMO EM CASO DE QUEBRA DO CORPO DA ARTIFICIAL.;CIAN.JPG;;;
VENNON;MARINE;MARINE;ISCA PARA ÁGUA SALGADA;R$ 55,00;90MM E 115MM SUPERFÍCIE, ZARA FLOATING PLÁSTICO ABS EFEITO SONORO: ESFERAS 2 GARATÉIAS SANKEN 4X #4 BLACK NICKEL / SANKEN 4X #1 BLACK NICKEL PESO: 90MM 15G / 115MM 25G 11 CORES ISCA DE SUPERFÍCIE COM ALTA FLUTUAÇÃO. GARATEIAS REFORÇADAS. IDEAL PARA A CAPTURA DE ANCHOVA, XARÉU, OLHETE, DOURADO DO MAR, ROBALO FLECHA ENTRE OUTROS.;VENNON.JPG;;;
POPAI ULTIMATE SERIES;MORO DECONTO/FUJI;DECONTO ISCAS ARTIFICIAIS;ISCA PARA ÁGUA SALGADA;R$ 113,80;UMA ISCA POPPER, ROBUSTA, COM TRABALHO ATRAENTE, É A ARMA SECRETA PARA SUAS PESCARIAS EM BUSCA DE GIGANTES! POSSUI CORPO ROBUSTO E BEM ESTRUTURADO EM PLÁSTICO ABS, PITÕES COM ARAME INTEIRIÇO INTERLIGADO, GARATÉIAS EXTREME 6X 1/0 HOGAN DE EXTREMA RESISTÊNCIA COM TRATAMENTO ANTICORROSIVO PARA ÁGUA SALGADA. DISPONÍVEL EM 2 TAMANHOS, 9 E 11CM.;POPAI.JPG;;;
ISCA CHARUTINHO;ALLIGATOR;ALLIGATOR;ISCA SOFT;R$ 2,40;ISCA DESENVOLVIDA PARA ATENDER UMA DEMANDA NA PESCA DE TRAÍRAS E OUTROS PREDADORES, DEVIDO AO SEU NADO EM ZARA TANTO NA SUPERFÍCIE QUANTO MEIA AGUA QUANTO FUNDO , PROPORCIONANDO UM IMENSO RESULTADO NAS PESCARIAS. TAMANHO 5,8 CM 9 GRAMAS E MAIS DE 100 COMBINAÇÕES DE CORES DISPONÍVEIS.;CHARUTINHO.JPG;;;
ISCA SOFT DROP MINNOW GREAT LAKES FINESSE;AQUABRAZIL;GREAT LAKES FINESSE;ISCA SOFT;R$ 88,90;ISCA SOFT DE ACABAMENTO FOSCO EM SEU MATERIAL BASE. QUANDO NA ÁGUA, POSSUI FLUTUABILIDADE NEUTRA EM FUNÇÃO DE SEU MATERIAL, QUE TAMBÉM É MUITO RESISTENTE À RASGOS. IDEAL PARA O BLACK BASS E TRAÍRAS, E AS TÉCNICAS DE DROP SHOT, UNDERSPIN TRAILER, MOPING, SPINE RIG E NED. TAMANHO DE 7 CM E PACOTE COM 08 UNIDADES;FINESSE.JPG;;;
RV BUG;GRUPO WAKOKU / FLÓRIDA MARINE;JACKALL;ISCA SOFT;R$ 135,00;A JACKALL RESOLVEU INOVAR E DIFERENTE DAS OUTRAS SOFTS QUE IMITAM INSETOS E FLUTUAM, A RV-BUG É SINKING. COM MATERIAL MAIS DENSO E AS ?PERNAS? CAUSAM VIBRAÇÃO ENQUANTO ESTÁ AFUNDANDO LENTAMENTE OU QUANDO DAMOS TOQUES. A ISCA MEDE 3?? (7,62CM) E O ANZOL INDICADO É O OFF SET 3/0.;RV-BUG.JPG;;;
SHINJI X9;GRUPO WAKOKU / FLÓRIDA MARINE;XBRAID;LINHA;R$ 950,00;REVOLUCIONÁRIO, EXTREMAMENTE FORTE E CHEIA DE TECNOLOGIA. ESSAS PALAVRAS SÃO PERFEITAS PARA DEFINIR A SHINJI9, QUE É A PRIMEIRA LINHA DA MARCA QUE EMPREGA O NOVO PROCESSAMENTO DE CHAMADO DE RC PARA LINHAS DE 9 FIOS MAIS A ESTRUTURA W, A MESMA UTILIZADA NA ODDSPORT WXP1. O RESULTADO É UMA LINHA COM UMA SUPERFÍCIE MAIS UNIFORME, UTILIZANDO UM FIO CENTRAL DE PE DE ALTA RESISTÊNCIA, EVITANDO A DEFORMAÇÃO MESMO SOB SOB CARGA ELEVADA ? DETALHE QUE TAMBÉM PODERIA LEVAR A UMA PERDA DE RESISTÊNCIA. A LINHA TAMBÉM PROPORCIONA MAIOR SENSIBILIDADE JUNTO COM UMA ALTA RESISTÊNCIA AO DESGASTE E MENOR ABSORÇÃO DE ÁGUA. A LINHA POSSUI SISTEMA DE MARCAÇÃO DE 1 M.;SHINJI.JPG;;;
LINHA MULTIFILAMENTO FUSION 8X 100M;HP MOTONÁUTICA;HP PESCA, MOTO, NÁUTICA;LINHA;R$ 39,90;A LINHA X8 FUSION DA HP É UMA LINHA DE PESCA MULTIFILAMENTO PROJETADA PARA PROPORCIONAR UMA EXPERIÊNCIA DE PESCA EXCEPCIONAL. COMBINANDO TECNOLOGIA AVANÇADA E MATERIAIS DE ALTA QUALIDADE, ESSA LINHA OFERECE UM DESEMPENHO SUPERIOR E UMA RESISTÊNCIA IMPRESSIONANTE. A CARACTERÍSTICA MULTIFILAMENTO DA LINHA X8 FUSION SIGNIFICA QUE ELA É COMPOSTA POR VÁRIAS FIBRAS ENTRELAÇADAS, O QUE PROPORCIONA UMA MAIOR SUAVIDADE E SENSIBILIDADE DURANTE O ARREMESSO E A RECOLHA. ISSO PERMITE QUE VOCÊ SINTA ATÉ MESMO AS MORDIDAS MAIS SUTIS, MELHORANDO SUAS CHANCES DE CAPTURAR PEIXES. O TRATAMENTO EM ULTRASSOM É UM PROCESSO ESPECIAL PELO QUAL A LINHA PASSA, RESULTANDO EM UMA TEXTURA SUAVE E UNIFORME. ESSE TRATAMENTO NÃO APENAS MELHORA A CAPACIDADE DE LANÇAMENTO, REDUZINDO O ATRITO COM OS PASSADORES DA VARA, MAS TAMBÉM AUMENTA SIGNIFICATIVAMENTE A RESISTÊNCIA À ABRASÃO. ASSIM, VOCÊ PODE PESCAR EM AMBIENTES DESAFIADORES, COMO ÁREAS ROCHOSAS OU COM VEGETAÇÃO DENSA, SEM SE PREOCUPAR COM DANOS À LINHA. ALÉM DISSO, A LINHA X8 FUSION POSSUI UMA RESISTÊNCIA IMPRESSIONANTE, PERMITINDO QUE VOCÊ LIDE COM PEIXES MAIORES E AUMENTANDO SUA CONFIANÇA DURANTE AS BATALHAS. SUA CONSTRUÇÃO DE ALTA QUALIDADE GARANTE QUE A LINHA SEJA DURÁVEL E RESISTENTE À TRAÇÃO, PROPORCIONANDO UMA MAIOR TRANQUILIDADE AO ENFRENTAR SITUAÇÕES DE PESCA EXIGENTES. EM RESUMO, A LINHA X8 FUSION DA HP É UMA ESCOLHA EXCELENTE PARA PESCADORES QUE PROCURAM UMA LINHA DE PESCA MULTIFILAMENTO DE ALTO DESEMPENHO. COM SEU TRATAMENTO EM ULTRASSOM, ELA OFERECE SUAVIDADE, RESISTÊNCIA À ABRASÃO E MAIOR SENSIBILIDADE. SUA CONSTRUÇÃO DE QUALIDADE E RESISTÊNCIA IMPRESSIONANTE TORNAM-NA UMA OPÇÃO CONFIÁVEL PARA ENFRENTAR DIVERSOS DESAFIOS AO PESCAR.;8X100M.JPG;;;
LINHA MULTIFILAMENTO TOURNAMENT X4;ISCAS YARA;YARA ISCAS ARTIFICIAIS;LINHA;R$ 49,90;A TOURNAMENT PE X4 É UMA LINHA DE MULTIFILAMENTO 4 FIOS, CONFECCIONADA EM 100% POLIETILENO, COM ALTO GRAU DE RESISTÊNCIA À TENSÃO E PRINCIPALMENTE À ABRASÃO, ALÉM DE DURABILIDADE ELEVADA. NÃO POSSUI MEMÓRIA E SUA ELASTICIDADE É PRÓXIMA DO ZERO, O QUE TORNA AS FISGADAS MAIS EFICIENTES. É INDICADA PARA LOCAIS DE MUITA ESTRUTURA SUBMERSA. COR CINZA.;X4.JPG;;;
HAMMER BRAIDED FISHING LINE 4 FIOS;KASTKING;KASTKING;LINHA;R$;"UM PADRÃO MAIS ALTO EM TRANÇADOS DE 4 CARRIER ? A LINHA DE PESCA TRANÇADA HAMMER BRAID UTILIZA UMA FIBRA UHMWPE DE MICROFILAMENTO EM UM PADRÃO EXCLUSIVO DIAMOND BRAID QUE MAXIMIZA A RESISTÊNCIA GERAL DAS LINHAS ENQUANTO DIMINUI O DIÂMETRO EM RELAÇÃO AOS TRANÇADOS DE 4 CARREGADORES PADRÃO. EM MÉDIA, A HAMMER BRAID É 10% MAIS FORTE DO QUE OS TRANÇADOS DE 4 CARREGADORES PADRÃO NO MESMO TESTE DE LIBRA. PROCESSO DE PRÉ-TRATAMENTO DE COLORFAST ? A HAMMER BRAID É COLORIDA USANDO UM PROCESSO DE REVESTIMENTO PATENTEADO (EPC) PROJETADO PARA PRÉ-TRATAR A FIBRA, GARANTINDO UMA LINHA TRANÇADA DE COR FIRME COM PRATICAMENTE NENHUM DESBOTAMENTO E PERDA DE COR. O PROCESSO DE PRÉ-TRATAMENTO TAMBÉM FORNECE MAIOR RESISTÊNCIA AO NÓ DO QUE OS TRANÇADOS DE 4 CARREGADORES PADRÃO. DIÂMETRO DE SUPERFÍCIE MAIS SUAVE ? A HAMMER BRAID É FABRICADA EM UMA CONFIGURAÇÃO DE TRANÇA MAIS APERTADA QUE FORNECE UMA SUPERFÍCIE MAIS LISA DO QUE OS TRANÇADOS DE 4 CARREGADORES PADRÃO. A SUPERFÍCIE MAIS LISA PERMITE LANÇAMENTOS MAIS LONGOS E RECUPERAÇÕES MAIS SILENCIOSAS AO PASSAR SEM ESFORÇO PELAS GUIAS DA VARA. INCRÍVEL RESISTÊNCIA À ABRASÃO ? O PROCESSO DE PRÉ-TRATAMENTO DA HAMMER BRAID OFERECE INCRÍVEL RESISTÊNCIA À ABRASÃO E MAIOR VIDA ÚTIL. A CONSTRUÇÃO TRANÇADA ""HAMMER TOUGH"" CORTA A VEGETAÇÃO SEM ESFORÇO, DIMINUINDO SUA CHANCE DE PERDER AQUELE PEIXE DA SUA VIDA. QUASE ZERO ESTICAMENTO ? COM UM FATOR DE ALONGAMENTO DE MENOS DE 4% EM SEU PONTO DE RUPTURA, A HAMMER BRAID OFERECE CONJUNTOS DE ANZÓIS PODEROSOS E PERMITE QUE VOCÊ SINTA ATÉ MESMO A MENOR MORDIDA.";HAMMER.JPG;;;
MOLINETE DEVOTION;ALBATROZ;MARCA FORSEVEN (GRUPO ALBATROZ FISHING);MOLINETE;R$ 360,00;"4+1 ROLAMENTOS (800, 3000 E 5000); 4.7:1 RECOLHIMENTO (800); 6.0:1 RECOLHIMENTO (300 E 5000); 5KG DE DRAG (800) | 6KG (3000) | 8KG (5000); 234G DE PESO (800) | 263G (3000) | 315G (5000); CARRETEL EM ALUMÍNIO; KNOB EMBORRACHADO; SISTEMA ANTI-REVERSO INFINITO.";DEVOTION.JPG;;;
MOLIENETE MEGAJAWS ELITE;KASTKING;KASTKING;MOLINETE;R$;MOLIENETE MEGAJAWS ELITE PROJETADO PARA VENCER KASTKING MEGAJAWS ELITE PRO TOUR LEVEL SPINNING REELS SÃO CONSTRUÍDOS DE ACORDO COM PADRÕES RIGOROSOS. SUA ENGRENAGEM PRINCIPAL DE ALUMÍNIO AEROESPACIAL ENDURECIDO 2014 DIGI-CUT COM UMA DUREZA ROCKWELL DE 82 É 15% MAIS FORTE DO QUE QUALQUER ENGRENAGEM DE LIGA DE ZINCO E USINADA PARA TOLERÂNCIAS DE NÍVEL DE MICRÔMETRO (?M). SEU CORPO DE ALUMÍNIO AEROESPACIAL UNI-FRAME SEM COSTURA E ROTOR DE CARBONO FORNECEM O MELHOR CARRETEL DE FIAÇÃO LEVE PARA PESCADORES PROFISSIONAIS E RECREATIVOS EXIGENTES.;MEGAJAWS.JPG;;;
HORIZON;MARINE;EUROSEA;MOLINETE;R$ 549,90;CORPO, TAMPA LATERAL, CARRETEL, MANIVELA E ARCO EM ALUMÍNIO. ROTOR EM GRAFITE PINHÃO EM LATÃO APOIADO POR ROLAMENTO COROA EM ATIMÔNIO EIXO EM AÇO INOXIDÁVEL ROLAMENTOS: 6+1 VELOCIDADE RECOLHIMENTO: 4.6:1 SISTEMA DE OSCILAÇÃO LENTA DRAG 18KG IPT: 110CM CAPACIDADE DE LINHA: 0.28 - 400 / 0.31 - 325 CARRETEL CÔNICO: 0.23 - 440 / 0.28 - 300 PESO: 586G;HORIZON.JPG;;;
TROVAO;SAHARA;SAHARA;MOLINETE;R$ 150,00;MOLINETE TROVAO, EM ALUMINIO, DIVERSOS TAMANHOS, 5+1 ROLAMENTOS , SISTEMA BALANCEADO, MANOPLA EM EVA.. OTIMO CUSTO BENEFICIO;TROVAO.JPG;;;
MOTOR ELETRICO MINN KOTA INSTINCT RIPTIDE QUEST;AQUABRAZIL;MINN KOTA;MOTORES (QUALQUER TIPO DE PROPULSÃO);R$ 57.645,00;"MOTOR ELÉTRICO MINN KOTA INSTINCT RIPTIDE QUEST, 90/115LBS (24-36V), HASTE DE 87"" (220 CM), CONTROLE WIRELESS REMOTE, BLUETOOTH, ONE-BOAT-NETWORK. PERMITE COLOCAR E RETIRAR DA ÁGUA AUTOMATICAMENTE (CLIQUE BOTÃO). COM SISTEMA SPOT-LOCK (ÂNCORA). PODE SER CONECTADO PARA INTERAGIR COM SONARES HUMMINBIRD";RIPTIDE.JPG;;;
MOTOR ELETRICO MINN KOTA ULTREX QUEST;AQUABRAZIL;MINN KOTA;MOTORES (QUALQUER TIPO DE PROPULSÃO);R$ 45.753,00;"MOTOR ELÉTRICO MINN KOTA ULTREX QUEST, 90/115LBS (24-36V), HASTE DE 60"" (152 CM), CONTROLE MICRO REMOTE/PEDAL, TRANSDUCER MSI (MEGA SIDE IMAGING), BLUETOOTH, ONE-BOAT-NETWORK. PERMITE CONTROLE REMOTAMENTE OU POR PEDAL. COM SISTEMA SPOT-LOCK (ÂNCORA). PODE SER CONECTADO PARA INTERAGIR COM SONARES HUMMINBIRD";KOTA.JPG;;;
MOTORES 30HP E 40HP TURBO JET;HIDEA;HIDEA MOTORES;MOTORES (QUALQUER TIPO DE PROPULSÃO);R$ 27.568,00;MODELOS HDJ30FHS E HDJ40FHS POTÊNCIA MÁXIMA GERADA (KW) 30HP - 22.1 | 40HP ? 29.4 ROTAÇÃO ALCANÇADA EM ACELERAÇÃO PLENA (RPM) 4500-5500 TIPO DE MOTOR 2 TEMPOS NÚMERO DE CILINDROS 2 CURSO (CILINDRADA) (CC) 30HP - 496 | 40HP - 703 DIÂMETRO X CURSO (MM) 30HP - 72 X 61 | 40HP ? 80X70 COMPRIMENTO X LARGURA X ALTURA (MM) 30HP - 843 X 399 X 1146 | 40HP - S: 1073X402X1218 | L: 1073X402X1345 PESO (KG) 30HP ? 54KG | 40HP ? 76KG RELAÇÃO DE MARCHA 30HP - 24:13 (2.33) | 40HP - 26:13 (2.00) POSIÇÃO DE MUDANÇA DE MARCHAS F-N-R SISTEMA DE IGNIÇÃO CDI SISTEMA DE ARREFECIMENTO REFRIGERAÇÃO À ÁGUA SISTEMA DE PARTIDA MANUAL E ELÉTRICA;40HP.JPG;;;
400R;MERCURY;MERCURY MARINE;MOTORES (QUALQUER TIPO DE PROPULSÃO);R$ 304.763,00;5.7L V10 NATURALMENTE ASPIRADO 400R MERCURY. O MOTOR MAIS DESEJADO DA PESCA ESPORTIVA TEM DESEMPENHO E POTÊNCIA, COM DESIGN COM CORPO DE ACELERADOR DE 92 MM E ADMISSÃO AJUSTADA PARA MAXIMIZAR O FLUXO DE AR. PROJETADO PARA PRODUZIR RESPOSTA INSTANTÂNEA DO ACELERADOR, ENQUANTO UM SENSOR DE PRESSÃO DE COMBUSTÍVEL MERCURY RACING FORNECE ABASTECIMENTO PRECISO SOB ACELERAÇÃO PARA MELHORAR AINDA MAIS A RESPOSTA DO ACELERADOR.;400R.JPG;;;
50 HP QUATRO TEMPOS COM MANCHE;MERCURY;MERCURY MARINE;MOTORES (QUALQUER TIPO DE PROPULSÃO);R$ 45.502,00;MERCURY FOURSTROKE 50HP: SUA NAVEGAÇÃO VAI FICAR AINDA MAIS COMPLETA. COM O MELHOR CUSTO-BENEFÍCIO DA CATEGORIA, ELE POSSUI DESIGN INOVADOR E ACESSOS DE CONTROLE BEM POSICIONADOS. SEUS PRINCIPAIS DIFERENCIAIS SÃO O MANCHE MID TILLER E POWER TRIM, ALÉM DE PARTIDA ELÉTRICA E CONTROLE DE CORRICO, BLOCO COM 4 CILINDROS (995 CC) E RABETA DE 20 POLEGADAS COM RELAÇÃO DE 1,83.;MANCHE.JPG;;;
9.9 HP QUATRO TEMPOS;MERCURY;MERCURY MARINE;MOTORES (QUALQUER TIPO DE PROPULSÃO);R$ 17.053,00;ÚNICO DA CATEGORIA COM INJEÇÃO ELETRÔNICA SEM BATERIA, O MERCURY FOURSTROKE 9.9 HP FOI FEITO PARA DESBLOQUEAR O INACESSÍVEL. ELE FACILITA SEU TRABALHO E TRANSFORMA A EXPERIÊNCIA NAS ÁGUAS COM 5 POSIÇÕES MANUAIS DE TRIM, MANCHE AMBIDESTRO E TANQUE DE 12L. A COMPANHIA IDEAL PARA BARCOS DE APOIO E CAIAQUES.;99HP.JPG;;;
350HP;YAMAHA;YAMAHA;MOTORES (QUALQUER TIPO DE PROPULSÃO);R$ 227.360,00;;350HP.JPG;;;
CAIXA PLANO RANGE BAG X2 MEDIUM - 1712500V;AQUABRAZIL;PLANO;TIRO ESPORTIVO;R$ 778,00;CAIXA PLANO PARA TIRO ESPORTIVO COM BOLSA FRONTAL PARA CASE PISTOLA 140300, TAMPA COM ALÇA PARA TRANSPORTE E BASE RÍGIDA. BOLSO LATERAL PARA CASE DE MUNIÇÃO E TRASEIRO EM MALHA;RANGE.JPG;;;
CARABINA FXR P35X EVOLUTION;FXR;ARTEMIS;TIRO ESPORTIVO;R$ 7.500,00;ESPECIFICAÇÕES GERAIS TIPO: CARABINA PCP CALIBRE: 5.5MM VELOCIDADE: 1000 FPS (305 M/S) * ENERGIA: 46 JOULES * AUTONOMIA: 100 DISPAROS * PESO: 2,9 KG COMPRIMENTO TOTAL: 76,5 CM COMPRIMENTO DO CANO: 53 CM PRESSÃO MÁXIMA: 25 MPA (250 BAR) POSSUI POWER PLENUM 65CC CARACTERÍSTICAS E ACESSÓRIOS ACIONAMENTO: SIDE LEVER AMBIDESTRO CILINDRO: 280CC CORONHA: BULLPUP GATILHO: AJUSTÁVEL CAPACIDADE DO MAGAZINE: 9 TIROS SUPRESSOR: INCLUSO TRAVA DE SEGURANÇA: MANUAL TRILHO: PICATINNY VÁLVULA REGULADORA: SIM AIR STRIPPER: SIM ACESSÓRIOS INCLUSOS: MAGAZINE, BICO DE ENCHIMENTO, O-RINGS EXTRAS, CHAVES ALLEN * OS VALORES DE VELOCIDADE, ENERGIA E AUTONOMIA PODEM VARIAR CONFORME AS CONDIÇÕES DE TIRO.;CARABINA.JPG;;;
CARABINA DE PRESSÃO PCP ROSSI BULLPUP R35 CAL. 5,5MM;ROSSI;ROSSI;TIRO ESPORTIVO;R$ 5.900,00;A BULLPUP ROSSI R35, UM FORMATO COMPACTO, LEVE, MODERNO, COM TECNOLOGIA QUE PROPORCIONA UM CUSTO BENEFÍCIO SEM COMPARAÇÃO NO MERCADO BRASILEIRO. CORONHA EM MADEIRA NATURAL RESSALTA A SOFISTICAÇÃO. SISTEMA DE ENGATILHAMENTO SIDE LEVER. TRILHO PICATINNY INTEGRADO. VELOCIDADE 270M/S (880FPS) RESERVATÓRIO DE AR COM 250CC 2 SISTEMAS DE MUNICIAMENTO.;BULLPUP.JPG;;;
VARA SNOOK LIFE;ALBATROZ;ALBATROZ FISHING;VARA PARA CARRETILHA;R$ 395,42;"VARA EM CARBONO IM10 DE ALTA DURABILIDADE; MODELO PARA CARRETILHA COM REEL SEAT MODELO SKELETON; CORPO E PASSADORES LEVES E RESISTENTES; CABO REVESITDO EM EVA; PONTEIRA ANTIENROSCO; ACABAMENTO EM PRETO BRILHANTE; TAMANHOS: C631 | C631; INTEIRIÇA; PASSADORES: 10+1 AÇÃO: RÁPIDA LURE: 5-20G LIBRAS: 8-14LBS E 8-17LBS PESO: 89G E 91G";SNOOK-LIFE.JPG;;;
VARA CARRETILHA ST. CROIX BLACK BASS;AQUABRAZIL;ST. CROIX RODS;VARA PARA CARRETILHA;R$ 1.740,00;6?8? (PÉS), MEDIUM (POWER), X-FAST (ACTION), 6-20LBS, CASTING 1/4-5/8 OZ., 1 PARTE, BLANK CARBONO SC III (COR TUNGSTEN GREY), PASSADORES EM ÓXIDO DE ALUMÍNIO. TECNOLOGIAS ST. CROIX IPC, FRS E HANDCRAFTED (FEITO A MÃO NOS USA);CROIX-BLACK.JPG;;;
