NOME;MARCA;EXPOSITOR;CATEGORIA;VALOR;FICHA TÉCNICA;FOTO;;;
KASTKING BRUTUS RED ( PASSAGUÁ );KASTKING;KASTKING;ACESSÓRIOS DE PESCA;R$;REDE DE POUSO DOBRÁVEL KASTKING BRUTUS COM GANCHO PARA BARCO, DOBRÁVEL, EXPANSÍVEL, LEVE E FORTE, GANCHO MULTIFUNCIONAL INTEGRADO PARA BARCO, ALÇA TPR LARANJA BRILHANTE E ANTIDERRAPANTE, LARGE COLOR RED DE PVC MATERIAL ALUMINIO PESO 2,09 LIBRAS;KASTKING.JPG;;;
BANQUETA PARA PESCA RELAX;MARIA PESCA;MARIA PESCA;ACESSÓRIOS DE PESCA;R$ 120,00;BANQUETA RELAX DA MARIA PESCA DIMENÇÃO ALTURA : 70CM LARGURA: 40CM COMPRIMENTO: 43CM FABRICADA EM FERRO 7/8 PAREDE 1,06 PINTURA EPOXI ACENTO E ENCOSTO EM PVC SAPATA DE PROTEÇÃO;BANQUETA_RELAX.JPG;;;
BOLSA M-BP25;MARINE;MARINE;ACESSÓRIOS DE PESCA;R$ 519,00;BOLSA DE PESCA COM FUNDO RÍGIDO E IMPERMEÁVEL. POSSUI ALÇA REMOVÍVEL, ZÍPERES REFORÇADOS E DIVERSOS COMPARTIMENTOS PARA ACESSÓRIOS. CAPACIDADE: 25 LITROS DIMENSÕES: 30X50X30 CM ACOMPANHA 5 CAIXAS MULTIUSO TAMBÉM DISPONÍVEL PARA VENDA SEM CAIXAS MULTIUSO E EM TAMANHOS MENORES (15 E 20 LITROS).;M-BO25.JPG;;;
FIXADOR HIBRIDO DE CARBONO E TITÂNIO (TC-FBCSK13);MORO DECONTO/FUJI;FUJI;ACESSÓRIOS DE PESCA;R$ 599,99;"OS FIXADORES TCH (TITANIUM CARBON HYBRID) DE ÚLTIMA GERAÇÃO, MOLDADOS EM POLÍMERO COM FIBRA DE CARBONO E TITÂNIO, APRESENTAM CARACTERÍSTICAS DE ALTA RESISTÊNCIA, RIGIDEZ E CORROSÃO ZERO QUE; ALÉM DA LEVEZA ELEVAM A FIXAÇÃO DA CARRETILHA A UMA NOVA ERA DE CONFORTO, SENSIBILIDADE E POTÊNCIA.";TC-FBCS13.JPG;;;
TRANSDUCER HUMMINBIRD MEGA LIVE 2;AQUABRAZIL;HUMMINBIRD;ACESSÓRIOS NÁUTICOS;R$ 13.800,00;TRANSDUCER HUMMINBIRD QUE POSSUI SINAL EM TEMPO REAL (REAL TIME) COMPATÍVEL COM SONARES DA MARCA. PERMITE TRÊS MODOS DE VISUALIZAÇÃO: DOWN MODE (PARA BAIXO), FORWARD MODE (PARA FRENTE) E LANDSCAPE MODE (PAISAGEM). ALCANCE DE 20X120 GRAUS E ATÉ 100 PÉS (30 M) DE DISTÂNCIA, DEPENDENDO DO MODO UTILIZADO;TRANSDUCER.JPG;;;
BATERIA DE LITIO LIFEPO4 ROYPOW 36V 100AMP;AQUABRAZIL;ROYPOW;ACESSÓRIOS NÁUTICOS;R$ 16.390,00;BATERIA DE LÍTIO LIFEPO4, FOSFATO DE FERRO LÍTIO, TERMINAL TIPO F2, IP67 (PROTEÇÃO TOTAL CONTRA POEIRA E IMERSÃO ATÉ 1 METRO EM ÁGUA DOCE POR 30 MINUTOS), MONITORAMENTO POR APLICATIVO, ALÇA PARA TRANSPORTE, DIMENSÕES DE 50 X 26 X 26 CM E PESO DE 34KG;ROYPOW.JPG;;;
COLETE AUTO-INFLAVEL BALTIC MODELO WINNER HARNESS 165N;AQUABRAZIL;BALTIC;ACESSÓRIOS NÁUTICOS;R$ 1.480,00;COLETE DE FLUTUAÇÃO AUTO-INFLÁVEL BALTIC WINNER HARNESS 165N DE MATERIAL EXTRA FORTE, SUPER ANATÔMICO, COM ARNÊS DE SEGURANÇA, CINTO AJUSTÁVEL, ISO 12402-6, CILINDRO DE CO2 E CAPACIDADE DE 40-150 KG;165N.JPG;;;
CAIXA COZINHA PORTATIL RONDON;BARCOS RONDON;BARCOS E CARRETAS RONDON;ACESSÓRIOS NÁUTICOS;R$ 3.500,00;"DIMENSÕES: 55 X 35 X 43 CM. PESO: APROXIMADAMENTE 13 KG. MATERIAL: ALUMÍNIO/ PINTURA ELETROSTÁTICA; ACESSÓRIOS: 1 FOGÃO INOX, 1 FRIGIDEIRA, 1 CAÇAROLA, 1 ESCUMADEIRA, 6 COPOS DE ACRÍLICO, 6 PRATOS DE MELANINE, 3 PORTA MANTIMENTOS, 4 PORTA TEMPERO INOX, 6 GARFOS E 6 FACAS";CAIXA.JPG;;;
SUPORTE PARA 3 VARAS BARCO BASS BOAT REGULÁVEL;HP MOTONÁUTICA;HP PESCA, MOTO, NÁUTICA;ACESSÓRIOS NÁUTICOS;R$ 449,00;*NOVIDADE NO PESCA E COMPANHIA TRADE SHOW 2025! *AUMENTE SUA EFICIÊNCIA E ORGANIZAÇÃO NA PESCA COM NOSSO SUPORTE PARA 3 VARAS BARCO BASS BOAT REGULÁVEL *IDEAL PARA LANCHAS, BARCOS, CAIAQUES, BOTES E STAND UP *A BASE QUE FIXA O SUPORTE NA EMBARCAÇÃO É FACILMENTE REMOVÍVEL DO SUPORTE SEMPRE QUE NECESSÁRIO E PODE SER INSTALADA TANTO NA LATERAL QUANTO NA SUPERFÍCIE DA EMBARCAÇÃO. *POSSUI UM SISTEMA ESCAMOTEÁVEL PRÁTICO, QUE PERMITE REGULAR O SUPORTE EM VÁRIOS ÂNGULOS. *TEM UM REBAIXAMENTO ONDE ENCAIXA A VARA IDEAL PARA VARAS COM MOLINETE OU CARRETILHA. *VEM COM FUROS PARA PRENDER ANZÓIS, ISCAS, ALICATES, FACAS E OUTROS EQUIPAMENTOS PARA PESCA. *3 SUPORTES COM 25 CM DE ALTURA E 6 CM DE DIÂMETRO E 12 CM DE DISTÂNCIA UM DO OUTRO. *1 BASE COM 10 CM DE COMPRIMENTO E 4,5 CM DE LARGURA *ALTURA TOTAL DO SUPORTE 42 CM *COR: PRETO *MATERIAL: POLIPROPILENO;BASS.JPG;;;
JACK PLATE MECÂNICO 300HP;MORO DECONTO/FUJI;DECONTO NÁUTICA;ACESSÓRIOS NÁUTICOS;R$ 6.025,80;"NOVO JACK PLATE MECÂNICO 300HP DA DECONTO NÁTUCIA, A PEÇA QUE FALTAVA PARA SUA NAVEGAÇÃO DE ALTA PERFORMANCE. AJUSTE FÁCIL E PRECISO, MAIS VELOCIDADE E ECONOMIA PARA SUA EMBARCAÇÃO. DISPONÍVEL EM 6"", 8"" E 10"" POLEGADAS.";300HP.JPG;;;
COLETE SALVA VIDA - TIPO BOIA DE BRAÇO - MOD BABYA;RIOS E MARES;SBS BRASIL SUL SALVATAGEM LTDA - RIOS E MARES;ACESSÓRIOS NÁUTICOS;R$ 115,00;COLETE SALVA VIDAS, HOMOLOGADO PELA MARINHA DO BRASIL, CLASSE V, COM ESTAMPA EXCLUSIVA PARA IDENTIFICAR CRIANÇAS NO ESPECTRO AUTISTA. ÚNICO TAMANHO 15 ATÉ 25 KG. CONFECCIONADO NO TECIDO POLIAMIDA, TIRANTES EM POLIPROPILENO 40MM, ENCHIMENTO POLIETILENO DE CÉLULAS FECHADAS 6MM E FECHO EM POLIACETAL 40MM.;BABYA.JPG;;;
COLETES SALVA VIDAS - TIPO JALECO - MOD HSLA;RIOS E MARES;SBS BRASIL SUL SALVATAGEM LTDA - RIOS E MARES;ACESSÓRIOS NÁUTICOS;R$ 145,00 A R$ 205,00;COLETES SALVA VIDAS, HOMOLOGADOS PELA MARINHA DO BRASIL, CLASSE V, COM ESTAMPA EXCLUSIVA PARA IDENTIFICAR PESSOAS NO ESPECTRO AUTISTA. EM VÁRIOS TAMANHOS: PP,P,M,G E EG. CONFECCIONADO NO TECIDO POLIÉSTER, VIVO EM POLIPROPILENO, TIRANTES EM POLIPROPILENO 25MM, ENCHIMENTO POLIETILENO DE CÉLULAS FECHADAS 6MM E FECHOS EM POLIACETAL 25MM.;HSLA.JPG;;;
CARRETILHA KAYMAN;ALBATROZ;ALBATROZ FISHING;CARRETILHA;R$;"MATERIAL: CARBONO E ALUMÍNIO; ROLAMENTOS: 6+1; RECOLHIMENTO: 8.1:1; DRAG: 8KG (3 DISCOS DE CARBONO + 2 DE AÇO INOX + 1 DURALUMÍNIO); PESO (APROXIMADO): 156G CAPACIDADE DE LINHA (MM/M): 0.14/200 - 0.24/130; GUIA FIO TRIANGULAR EM NITRETO E TITÂNIO; FREIO MAGNÉTICO CORPO E CARRETEL EM ALUMÍNIO REFORÇADO; ESTRELA DE FRICÇÃO E TAMPA LATERAL EM FIBRA DE";KAYMAN.JPG;;;
CARRETILHA SEVIIN ST CROIX GF SERIES;AQUABRAZIL;SEVIIN - ST. CROIX;CARRETILHA;R$ 1.288,00;CARRETILHA SEVIIN GF SERIES, 5 ROLAMENTOS (4 +1) DE AÇO INOX, COROA/PINHÃO DE LATÃO, CHASSI/TAMPA EM GRAFITE DE PEÇA ÚNICA, MANIVELA DE CARBONO, CARRETEL DE ALUMÍNIO, DRAG (FREIO) DE 15LBS (6,8 KG) MULTI-SLACK EM FIBRA DE CARBONO/AÇO INOX, GEAR RATIO (VELOCIDADE) 8.1:1, CONTR. MAGNÉTICO DE ARREMESSO MICRO AJUSTÁVEL, DISCO INDICADOR DE LINHA E 207G;CROIX_GF.JPG;;;
CARRETILHA (SPEED DEMON ELITE);KASTKING;KASTKING;CARRETILHA;R$;- CARRETILHA DE PESCA MAIS RÁPIDA DO MERCADO! VELOCIDADE DE RECOLHIMENTO: 10.5:1 ? DRAG DE 17,6LB | 8KG ? SISTEMA DE FRICÇÃO MULTIDISCOS DE CARBONO ? PESO: 190G ? CAPACIDADE DE LINHA: 150M DE 0.25MM / 105M DE 0.30MM ? ENGRENAGEM EM ALUMÍNIO 7075 AEROESPACIAL SUPER REFORÇADO ? PINHÃO EM LATÃO COM MANGANÊS DE ALTA RESISTÊNCIA ? 10 + 1 ROLAMENTOS EM AÇO INÓX ? POSSUI GUIA DE LINHA CÔNICO REVESTIDO EM CERÂMICA ? CORPO EM ALUMÍNIO AEROESPACIAL CNC ? FREIO CENTRÍFUGO E CONTROLE DE TENSÃO DO CARRETEL.;DEMON_ELITE.JPG;;;
VENATOR ACX;MARINE;MARINE;CARRETILHA;R$ 1.149,00;CHASSI EM ALUMÍNIO E LATERAIS EM CARBONO. PINHÃO EM LATÃO APOIADO POR ROLAMENTO. COROA EM DURALUMÍNIO. GUIA DE LINHA REVESTIDO EM TITÂNIO COM 2 ESTÁGIOS. BOTÕES DE AJUSTE E ESTRELA PONTO A PONTO. SISTEMA DE CONTROLE DE ARREMESSO MAGLEV. ROLAMENTOS 10+1. VELOCIDADE DE RECOLHIMENTO 8.3:1. IPT 88CM. HOOK HOLDER SINAL SONORO DE SAÍDA DE LINHA. DRAG7KG;VENATOR-ACX.JPG;;;
LANCHA NAVIS 650X;BARCOS RONDON;BARCOS E CARRETAS RONDON;EMBARCAÇÃO / CAIAQUE;R$ 115.800,00;CAPACIDADE DE CARGA 550 KG NÚMERO DE TRIPULANTES 01 NÚMERO DE PASSAGEIROS 06 PESO APROXIMADO 600 KG MOTORIZAÇÃO 175 - 300 HP COMPRIMENTO DO BARCO 6.50 M BOCA MÁXIMA 2.30 M PONTAL 0.78 M CALADO 0.15 M ESPESSURA DO COSTADO 2.0 MM ESPESSURA DO CASCO 3.0;650X.JPG;;;
